"","locus_tag","ftype","length_bp","gene","EC_number","COG","product"
"1826","LNFNCACK_02292","CDS",1725,"mtrB","2.7.13.3","","Sensor histidine kinase MtrB"
"1827","LNFNCACK_02293","CDS",720,"mtrA","","COG0745","DNA-binding response regulator MtrA"
"1828","LNFNCACK_02294","CDS",315,"gdx_1","","COG2076","Guanidinium exporter"
"1829","LNFNCACK_02295","CDS",348,"gdx_2","","","Guanidinium exporter"
"1830","LNFNCACK_02296","CDS",972,"fgd","1.1.98.2","","F420-dependent glucose-6-phosphate dehydrogenase"
"1831","LNFNCACK_02297","CDS",1446,"ahcY","3.3.1.1","","Adenosylhomocysteinase"
"1834","LNFNCACK_02300","CDS",963,"yedI","","COG2354","Inner membrane protein YedI"
"1835","LNFNCACK_02301","CDS",1425,"mtr","1.8.1.15","COG1249","Mycothione reductase"
"1838","LNFNCACK_02304","CDS",1434,"algC","5.4.2.2","COG1109","Phosphomannomutase/phosphoglucomutase"
"1844","LNFNCACK_02310","CDS",837,"fbiA","2.7.8.28","COG0391","Phosphoenolpyruvate transferase"
"1853","LNFNCACK_02319","CDS",822,"scoA","2.8.3.5","COG1788","putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A"
"1854","LNFNCACK_02320","CDS",639,"scoB","2.8.3.5","COG2057","putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B"
"1857","LNFNCACK_02323","CDS",894,"lcpB","","COG1316","putative cell wall biosynthesis protein LcpB"
"1858","LNFNCACK_02324","CDS",627,"lutC_2","","COG1556","Lactate utilization protein C"
"1859","LNFNCACK_02325","CDS",1476,"lutB_2","","COG1139","Lactate utilization protein B"
"1860","LNFNCACK_02326","CDS",741,"lutA_2","","COG0247","Lactate utilization protein A"
"1861","LNFNCACK_02327","CDS",861,"fadB2","1.1.1.157","COG1250","3-hydroxybutyryl-CoA dehydrogenase"
"1863","LNFNCACK_02329","CDS",1176,"ugd","1.1.1.22","COG1004","UDP-glucose 6-dehydrogenase"
"1864","LNFNCACK_02330","CDS",453,"yccU","","COG1832","putative protein YccU"
"1865","LNFNCACK_02331","CDS",528,"purE","5.4.99.18","COG0041","N5-carboxyaminoimidazole ribonucleotide mutase"
"1866","LNFNCACK_02332","CDS",1128,"purK","6.3.4.18","COG0026","N5-carboxyaminoimidazole ribonucleotide synthase"
"1868","LNFNCACK_02334","CDS",1005,"sasA_3","2.7.-.-","","Adaptive-response sensory-kinase SasA"
"1869","LNFNCACK_02335","CDS",669,"regX3_2","","COG0745","Sensory transduction protein regX3"
"1871","LNFNCACK_02337","CDS",789,"birA","6.3.4.15","COG0340","Bifunctional ligase/repressor BirA"
"1872","LNFNCACK_02338","CDS",1641,"accD5_1","6.4.1.3","COG4799","putative propionyl-CoA carboxylase beta chain 5"
"1877","LNFNCACK_02343","CDS",558,"rnhA","3.1.26.4","","Ribonuclease H"
"1878","LNFNCACK_02344","CDS",807,"COQ3_2","2.1.1.222","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"1885","LNFNCACK_02351","CDS",1563,"accD5_2","6.4.1.3","COG4799","putative propionyl-CoA carboxylase beta chain 5"
"1886","LNFNCACK_02352","CDS",1197,"mmgC_3","1.3.99.-","COG1960","Acyl-CoA dehydrogenase"
"1888","LNFNCACK_02354","CDS",924,"rbsK","2.7.1.15","COG0524","Ribokinase"
"1892","LNFNCACK_02358","CDS",699,"arlR","","COG0745","Response regulator ArlR"
"1893","LNFNCACK_02359","CDS",2643,"sasA_4","2.7.-.-","","Adaptive-response sensory-kinase SasA"
"1895","LNFNCACK_02361","CDS",2013,"mdtD_1","","","Putative multidrug resistance protein MdtD"
"1897","LNFNCACK_02363","CDS",1416,"lpdA","1.6.5.2","COG1249","NAD(P)H dehydrogenase (quinone)"
"1898","LNFNCACK_02364","CDS",819,"punA","2.4.2.1","","Purine nucleoside phosphorylase"
"1899","LNFNCACK_02365","CDS",1731,"glmM_2","","","Phosphoglucosamine mutase"
"1900","LNFNCACK_02366","CDS",618,"udk","2.7.1.48","","Uridine kinase"
"1901","LNFNCACK_02367","CDS",636,"yigZ","","COG1739","IMPACT family member YigZ"
"1902","LNFNCACK_02368","CDS",780,"deoC2","4.1.2.4","","Deoxyribose-phosphate aldolase 2"
"1903","LNFNCACK_02369","CDS",1140,"add","3.5.4.4","COG1816","Adenosine deaminase"
"1905","LNFNCACK_02371","CDS",1302,"deoA","2.4.2.4","COG0213","Thymidine phosphorylase"
"1906","LNFNCACK_02372","CDS",411,"cdd","3.5.4.5","COG0295","Cytidine deaminase"
"1908","LNFNCACK_02374","CDS",1104,"rfuC","","COG4603","putative riboflavin import permease protein RfuC"
"1909","LNFNCACK_02375","CDS",1554,"mglA","7.5.2.11","COG1129","Galactose/methyl galactoside import ATP-binding protein MglA"
"1910","LNFNCACK_02376","CDS",1032,"tmpC","","COG1744","Membrane lipoprotein TmpC"
"1911","LNFNCACK_02377","CDS",1197,"scmP","3.5.1.-","COG1473","N-acetylcysteine deacetylase"
"1912","LNFNCACK_02378","CDS",1092,"algA_3","","COG0662","Alginate biosynthesis protein AlgA"
"1913","LNFNCACK_02379","CDS",1152,"mgtA","2.4.1.-","COG0438","GDP-mannose-dependent alpha-mannosyltransferase"
"1915","LNFNCACK_02381","CDS",534,"yjcG","3.1.-.-","COG1514","Putative phosphoesterase YjcG"
"1916","LNFNCACK_02382","CDS",1026,"trpS","6.1.1.2","COG0180","Tryptophan--tRNA ligase"
"1917","LNFNCACK_02383","CDS",2247,"mshA_10","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1923","LNFNCACK_02389","CDS",1095,"mshA_11","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1924","LNFNCACK_02390","CDS",1074,"mshA_12","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1931","LNFNCACK_02397","CDS",1983,"mshA_13","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1933","LNFNCACK_02399","CDS",3048,"mshA_14","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1937","LNFNCACK_02403","CDS",2220,"icd","1.1.1.42","COG2838","Isocitrate dehydrogenase [NADP]"
"1947","LNFNCACK_02413","CDS",1980,"asnB","6.3.5.4","COG0367","Asparagine synthetase [glutamine-hydrolyzing] 1"
"1948","LNFNCACK_02414","CDS",981,"nadE_1","6.3.1.5","COG0171","NH(3)-dependent NAD(+) synthetase"
"1955","LNFNCACK_02421","CDS",399,"acpS_1","2.7.8.7","COG0736","Holo-[acyl-carrier-protein] synthase"
"1956","LNFNCACK_02422","CDS",1695,"msbA_2","7.5.2.6","","Lipid A export ATP-binding/permease protein MsbA"
"1957","LNFNCACK_02423","CDS",642,"dapH","2.3.1.89","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
"1959","LNFNCACK_02425","CDS",1524,"msrP_2","1.8.5.-","","Protein-methionine-sulfoxide reductase catalytic subunit MsrP"
"1961","LNFNCACK_02427","CDS",627,"sigK","","COG1595","ECF RNA polymerase sigma factor SigK"
"1962","LNFNCACK_02428","CDS",726,"rskA","","","Anti-sigma-K factor RskA"
"1963","LNFNCACK_02429","CDS",996,"mdh_2","1.1.1.37","COG0039","Malate dehydrogenase"
"1965","LNFNCACK_02431","CDS",846,"folD","","COG0190","Bifunctional protein FolD protein"
"1967","LNFNCACK_02433","CDS",1599,"purH","","COG0138","Bifunctional purine biosynthesis protein PurH"
"1968","LNFNCACK_02434","CDS",603,"purN","2.1.2.2","COG0299","Phosphoribosylglycinamide formyltransferase"
"1971","LNFNCACK_02437","CDS",507,"sigW_1","","COG1595","ECF RNA polymerase sigma factor SigW"
"1973","LNFNCACK_02439","CDS",471,"ribH","2.5.1.78","","6,7-dimethyl-8-ribityllumazine synthase"
"1974","LNFNCACK_02440","CDS",1248,"ribBA","","COG0108","Riboflavin biosynthesis protein RibBA"
"1975","LNFNCACK_02441","CDS",612,"ribE","2.5.1.9","COG0307","Riboflavin synthase"
"1976","LNFNCACK_02442","CDS",1092,"ribD","","COG0117","Riboflavin biosynthesis protein RibD"
"1977","LNFNCACK_02443","CDS",279,"acm","3.2.1.17","","Lysozyme M1"
"1979","LNFNCACK_02445","CDS",891,"sucD","6.2.1.5","COG0074","Succinate--CoA ligase [ADP-forming] subunit alpha"
"1980","LNFNCACK_02446","CDS",1254,"sucC","6.2.1.5","COG0045","Succinate--CoA ligase [ADP-forming] subunit beta"
"1983","LNFNCACK_02449","CDS",2433,"uvrD1","3.6.4.12","COG0210","ATP-dependent DNA helicase UvrD1"
"1984","LNFNCACK_02450","CDS",1272,"entS_2","","","Enterobactin exporter EntS"
"1987","LNFNCACK_02453","CDS",969,"ligD_2","","COG1793","Multifunctional non-homologous end joining protein LigD"
"1989","LNFNCACK_02455","CDS",825,"udgB","3.2.2.-","COG1573","Type-5 uracil-DNA glycosylase"
"1995","LNFNCACK_02461","CDS",846,"mshB_2","3.5.1.103","","1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase"
"1997","LNFNCACK_02463","CDS",801,"gatD","6.3.5.13","","Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD"
"1998","LNFNCACK_02464","CDS",1332,"murT","6.3.5.13","COG0769","Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT"
"1999","LNFNCACK_02465","CDS",693,"aas","6.2.1.20","","Bifunctional protein Aas"
"2004","LNFNCACK_02470","CDS",1578,"guaA","6.3.5.2","COG0518","GMP synthase [glutamine-hydrolyzing]"
"2007","LNFNCACK_02473","CDS",1785,"choD","1.1.3.6","COG2303","Cholesterol oxidase"
"2008","LNFNCACK_02474","CDS",1680,"gabD2","1.2.1.79","COG1012","Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2"
"2010","LNFNCACK_02476","CDS",1665,"hsrA_1","","","putative transport protein HsrA"
