locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_01468,CDS,2160,bfrD_2,,COG4774,putative TonB-dependent receptor BfrD
GMHGOCAD_01485,CDS,885,rhlA,2.3.1.-,,3-(3-hydroxydecanoyloxy)decanoate synthase
GMHGOCAD_01486,CDS,693,rsuA,5.4.99.19,COG1187,Ribosomal small subunit pseudouridine synthase A
GMHGOCAD_01488,CDS,1095,fadB_2,5.3.3.8,,Fatty acid oxidation complex subunit alpha
GMHGOCAD_01489,CDS,792,ung,3.2.2.27,COG0692,Uracil-DNA glycosylase
GMHGOCAD_01494,CDS,1287,nicP_1,,,Porin-like protein NicP
GMHGOCAD_01496,CDS,672,tctD,,COG0745,Transcriptional regulatory protein tctD
GMHGOCAD_01497,CDS,1395,qseC_1,2.7.13.3,,Sensor protein QseC
GMHGOCAD_01499,CDS,942,ygfZ,,,tRNA-modifying protein YgfZ
GMHGOCAD_01500,CDS,255,sdhE,,COG2938,FAD assembly factor SdhE
GMHGOCAD_01501,CDS,1605,nadB,1.4.3.16,COG0029,L-aspartate oxidase
GMHGOCAD_01502,CDS,582,algU_2,,COG1595,RNA polymerase sigma-H factor
GMHGOCAD_01503,CDS,588,mucA,,COG3073,Sigma factor AlgU negative regulatory protein
GMHGOCAD_01504,CDS,957,mucB,,COG3026,Sigma factor AlgU regulatory protein MucB
GMHGOCAD_01505,CDS,1425,degP,3.4.21.107,COG0265,Periplasmic serine endoprotease DegP
GMHGOCAD_01506,CDS,1434,bepA_1,3.4.-.-,COG4783,Beta-barrel assembly-enhancing protease
GMHGOCAD_01507,CDS,240,tusA_1,,COG0425,Sulfur carrier protein TusA
GMHGOCAD_01510,CDS,561,gcvR,,COG2716,Glycine cleavage system transcriptional repressor
GMHGOCAD_01511,CDS,879,dapA_2,4.3.3.7,COG0329,4-hydroxy-tetrahydrodipicolinate synthase
GMHGOCAD_01512,CDS,1116,bamC,,,Outer membrane protein assembly factor BamC
GMHGOCAD_01513,CDS,759,yycJ,3.-.-.-,COG1235,Putative metallo-hydrolase YycJ
GMHGOCAD_01514,CDS,714,purC,6.3.2.6,COG0152,Phosphoribosylaminoimidazole-succinocarboxamide synthase
GMHGOCAD_01517,CDS,828,arnC_1,2.4.2.53,,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GMHGOCAD_01518,CDS,363,arnE_1,,,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
GMHGOCAD_01522,CDS,1026,arnC_2,2.4.2.53,,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GMHGOCAD_01523,CDS,714,mcbR,,COG1802,HTH-type transcriptional regulator McbR
GMHGOCAD_01524,CDS,789,bacC_1,1.1.1.385,,Dihydroanticapsin 7-dehydrogenase
GMHGOCAD_01525,CDS,933,kce_1,2.3.1.247,COG3246,3-keto-5-aminohexanoate cleavage enzyme
GMHGOCAD_01526,CDS,879,araB,3.1.1.15,,L-arabinolactonase
GMHGOCAD_01527,CDS,1323,lgoT_1,,,putative L-galactonate transporter
GMHGOCAD_01528,CDS,1338,ttuB_1,,,Putative tartrate transporter
GMHGOCAD_01529,CDS,927,leuO_2,,,HTH-type transcriptional regulator LeuO
GMHGOCAD_01532,CDS,939,pcpR_2,,,PCP degradation transcriptional activation protein
GMHGOCAD_01534,CDS,1185,yycB_3,,COG2807,putative transporter YycB
GMHGOCAD_01535,CDS,471,cynS,4.2.1.104,COG1513,Cyanate hydratase
GMHGOCAD_01536,CDS,660,cynT_1,4.2.1.1,COG0288,Carbonic anhydrase 1
GMHGOCAD_01537,CDS,888,cynR_2,,,HTH-type transcriptional regulator CynR
GMHGOCAD_01538,CDS,783,pheC,,,Cyclohexadienyl dehydratase
GMHGOCAD_01541,CDS,294,ycgL,,COG3100,Protein YcgL
GMHGOCAD_01542,CDS,933,ghrA_2,1.1.1.81,,Glyoxylate/hydroxypyruvate reductase A
GMHGOCAD_01543,CDS,594,rutE,1.1.1.298,,malonic semialdehyde reductase RutE
GMHGOCAD_01551,CDS,2055,ptrB,3.4.21.83,COG1770,Protease 2
GMHGOCAD_01553,CDS,777,yafJ,2.4.2.-,COG0121,Putative glutamine amidotransferase YafJ
GMHGOCAD_01555,CDS,921,gltR_1,,COG0583,HTH-type transcriptional regulator GltR
GMHGOCAD_01556,CDS,1284,naiP_2,,,Putative niacin/nicotinamide transporter NaiP
GMHGOCAD_01557,CDS,753,pxpA3,3.5.2.9,COG1540,5-oxoprolinase subunit A 3
GMHGOCAD_01558,CDS,705,pxpB,3.5.2.9,COG2049,5-oxoprolinase subunit B
GMHGOCAD_01559,CDS,918,pxpC_1,3.5.2.9,COG1984,5-oxoprolinase subunit C
GMHGOCAD_01563,CDS,975,cysK,2.5.1.47,COG0031,Cysteine synthase A
GMHGOCAD_01567,CDS,1722,aceK,2.7.11.5,COG4579,Isocitrate dehydrogenase kinase/phosphatase
GMHGOCAD_01570,CDS,615,rpoE,,COG1595,ECF RNA polymerase sigma-E factor
GMHGOCAD_01572,CDS,1335,oprO,,COG3746,Porin O
GMHGOCAD_01575,CDS,903,dmlR_7,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_01577,CDS,699,aqpZ_2,,COG0580,Aquaporin Z
GMHGOCAD_01579,CDS,564,ppiA,5.2.1.8,COG0652,Peptidyl-prolyl cis-trans isomerase A
GMHGOCAD_01580,CDS,804,catD_3,3.1.1.24,COG0596,3-oxoadipate enol-lactonase 2
GMHGOCAD_01581,CDS,924,yhaJ_2,,,HTH-type transcriptional regulator YhaJ
GMHGOCAD_01583,CDS,600,azoR_1,1.7.1.17,COG1182,FMN-dependent NADH-azoreductase
GMHGOCAD_01584,CDS,864,bioP,,COG0697,Biotin transporter
GMHGOCAD_01586,CDS,1299,ybdG,,COG0668,Miniconductance mechanosensitive channel YbdG
GMHGOCAD_01590,CDS,945,sbmC,,,DNA gyrase inhibitor
GMHGOCAD_01596,CDS,837,cvfB,,COG2996,Conserved virulence factor B
GMHGOCAD_01599,CDS,894,gltR_2,,COG0583,HTH-type transcriptional regulator GltR
GMHGOCAD_01603,CDS,1380,opuE,,COG0591,Osmoregulated proline transporter OpuE
GMHGOCAD_01606,CDS,951,gbuA,3.5.3.7,COG0010,Guanidinobutyrase
GMHGOCAD_01609,CDS,396,ybaN_1,,COG2832,Inner membrane protein YbaN
GMHGOCAD_01611,CDS,2127,recQ,3.6.4.12,COG0514,ATP-dependent DNA helicase RecQ
GMHGOCAD_01612,CDS,435,slyA_2,,,Transcriptional regulator SlyA
GMHGOCAD_01613,CDS,2190,bamA_2,,,Outer membrane protein assembly factor BamA
GMHGOCAD_01616,CDS,816,rhaR_1,,,HTH-type transcriptional activator RhaR
GMHGOCAD_01617,CDS,822,lpxH_1,3.6.1.54,,"UDP-2,3-diacylglucosamine hydrolase"
GMHGOCAD_01620,CDS,1455,trkI,,COG0168,Trk system potassium uptake protein TrkI
GMHGOCAD_01621,CDS,567,ydjA,1.-.-.-,COG0778,Putative NAD(P)H nitroreductase YdjA
GMHGOCAD_01624,CDS,678,cpxR,,COG0745,Transcriptional regulatory protein CpxR
GMHGOCAD_01626,CDS,300,yciI,,COG2350,Protein YciI
GMHGOCAD_01627,CDS,597,yciB,,COG2917,putative intracellular septation protein A
GMHGOCAD_01629,CDS,666,yciO,,COG0009,putative protein YciO
GMHGOCAD_01635,CDS,1422,aroP_2,,COG1113,Aromatic amino acid transport protein AroP
GMHGOCAD_01636,CDS,414,arfB,3.1.1.29,COG1186,Peptidyl-tRNA hydrolase ArfB
GMHGOCAD_01637,CDS,1200,yhhS_1,,,putative MFS-type transporter YhhS
GMHGOCAD_01640,CDS,318,mauC,,COG3794,Amicyanin-alpha
GMHGOCAD_01641,CDS,972,cpdA_2,3.1.4.53,,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA"
GMHGOCAD_01644,CDS,1197,aspC_1,2.6.1.1,COG1448,Aspartate aminotransferase
GMHGOCAD_01646,CDS,792,phhA,1.14.16.1,COG3186,Phenylalanine-4-hydroxylase
GMHGOCAD_01647,CDS,1602,tyrR_1,,,Transcriptional regulatory protein TyrR
GMHGOCAD_01648,CDS,741,flgF,,COG4787,Flagellar basal-body rod protein FlgF
GMHGOCAD_01649,CDS,786,flgG,,COG4786,Flagellar basal-body rod protein FlgG
GMHGOCAD_01650,CDS,696,flgH,,,Flagellar L-ring protein
GMHGOCAD_01651,CDS,1110,flgI,,,Flagellar P-ring protein
GMHGOCAD_01656,CDS,774,rfbF,2.7.7.33,COG1208,Glucose-1-phosphate cytidylyltransferase
GMHGOCAD_01657,CDS,1083,rfbG,4.2.1.45,COG0451,"CDP-glucose 4,6-dehydratase"
GMHGOCAD_01658,CDS,543,rfbC,5.1.3.13,COG1898,"dTDP-4-dehydrorhamnose 3,5-epimerase"
GMHGOCAD_01660,CDS,867,tll,1.1.1.339,,dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
GMHGOCAD_01664,CDS,1002,pseB,4.2.1.115,COG1086,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)"
GMHGOCAD_01665,CDS,1173,per,2.6.1.102,COG0399,GDP-perosamine synthase
GMHGOCAD_01666,CDS,708,legF,2.7.7.82,COG1083,"CMP-N,N'-diacetyllegionaminic acid synthase"
GMHGOCAD_01667,CDS,1506,murG_1,2.4.1.227,,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
GMHGOCAD_01668,CDS,1053,pseI,2.5.1.97,COG2089,Pseudaminic acid synthase
GMHGOCAD_01672,CDS,849,hag,,COG1344,Flagellin
GMHGOCAD_01674,CDS,1467,fliD,,COG1345,B-type flagellar hook-associated protein 2
GMHGOCAD_01675,CDS,396,fliS,,COG1516,Flagellar secretion chaperone FliS
GMHGOCAD_01677,CDS,1476,norR_1,,,Anaerobic nitric oxide reductase transcription regulator NorR
GMHGOCAD_01678,CDS,1212,atoS,2.7.13.3,COG0642,Signal transduction histidine-protein kinase AtoS
GMHGOCAD_01679,CDS,1404,atoC_1,,COG2204,Regulatory protein AtoC
GMHGOCAD_01680,CDS,327,fliE,,,Flagellar hook-basal body complex protein FliE
GMHGOCAD_01681,CDS,1791,fliF,,COG1766,Flagellar M-ring protein
GMHGOCAD_01682,CDS,1020,fliG,,COG1536,Flagellar motor switch protein FliG
GMHGOCAD_01684,CDS,1359,fliI,7.1.2.2,COG1157,Flagellum-specific ATP synthase
GMHGOCAD_01685,CDS,450,fliJ,,COG2882,Flagellar FliJ protein
GMHGOCAD_01687,CDS,1698,rcsC_3,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_01691,CDS,969,fliM,,COG1868,Flagellar motor switch protein FliM
GMHGOCAD_01692,CDS,462,fliN,,COG1886,Flagellar motor switch protein FliN
GMHGOCAD_01694,CDS,750,fliP,,COG1338,Flagellar biosynthetic protein FliP
GMHGOCAD_01695,CDS,270,fliQ,,COG1987,Flagellar biosynthetic protein FliQ
GMHGOCAD_01696,CDS,783,fliR,,COG1684,Flagellar biosynthetic protein FliR
GMHGOCAD_01697,CDS,1176,flhB,,COG1377,Flagellar biosynthetic protein FlhB
GMHGOCAD_01698,CDS,2130,flhA,,COG1298,Flagellar biosynthesis protein FlhA
GMHGOCAD_01699,CDS,1323,flhF,,COG1419,Flagellar biosynthesis protein FlhF
GMHGOCAD_01700,CDS,831,ylxH,,COG0455,Flagellum site-determining protein YlxH
GMHGOCAD_01701,CDS,741,fliA,,COG1191,RNA polymerase sigma factor FliA
GMHGOCAD_01702,CDS,372,cheY,,COG0784,Chemotaxis protein CheY
GMHGOCAD_01703,CDS,789,cheZ,3.1.3.-,COG3143,Protein phosphatase CheZ
GMHGOCAD_01705,CDS,1119,cheB1,3.1.1.61,COG2201,Protein-glutamate methylesterase/protein-glutamine glutaminase 1
GMHGOCAD_01706,CDS,741,pomA,,COG1291,Chemotaxis protein PomA
GMHGOCAD_01707,CDS,885,motB,,COG1360,Motility protein B
GMHGOCAD_01708,CDS,789,soj_2,3.6.-.-,COG1192,Sporulation initiation inhibitor protein Soj
GMHGOCAD_01710,CDS,483,cheW_2,,COG0835,Chemotaxis protein CheW
GMHGOCAD_01714,CDS,582,ccmA,7.6.2.5,COG4133,Cytochrome c biogenesis ATP-binding export protein CcmA
GMHGOCAD_01715,CDS,669,ccmB,,COG2386,Heme exporter protein B
GMHGOCAD_01716,CDS,756,ccmC,,COG0755,Heme exporter protein C
GMHGOCAD_01718,CDS,456,ccmE,,COG2332,Cytochrome c-type biogenesis protein CcmE
GMHGOCAD_01719,CDS,1989,ccmF,,COG1138,Cytochrome c-type biogenesis protein CcmF
GMHGOCAD_01720,CDS,537,dsbE,,COG0526,Thiol:disulfide interchange protein DsbE
GMHGOCAD_01721,CDS,471,ccmH,,COG3088,Cytochrome c-type biogenesis protein CcmH
GMHGOCAD_01726,CDS,1188,hipO_2,3.5.1.32,COG1473,Hippurate hydrolase
GMHGOCAD_01727,CDS,1338,proP_2,,,Proline/betaine transporter
GMHGOCAD_01729,CDS,450,rutC_2,1.-.-.-,,Putative aminoacrylate peracid reductase RutC
GMHGOCAD_01730,CDS,1002,sbp_2,,COG1613,Sulfate-binding protein
GMHGOCAD_01733,CDS,1416,ttuE,2.7.1.40,,Pyruvate kinase
GMHGOCAD_01734,CDS,1281,ttuD,1.1.1.81,,Putative hydroxypyruvate reductase
GMHGOCAD_01735,CDS,894,glxR,1.1.1.60,COG2084,2-hydroxy-3-oxopropionate reductase
GMHGOCAD_01736,CDS,783,hyi,5.3.1.22,COG3622,Hydroxypyruvate isomerase
GMHGOCAD_01737,CDS,1776,gcl,4.1.1.47,COG3960,Glyoxylate carboligase
GMHGOCAD_01739,CDS,612,rutR_2,,COG1309,HTH-type transcriptional regulator RutR
GMHGOCAD_01741,CDS,2034,aaeB_3,,,p-hydroxybenzoic acid efflux pump subunit AaeB
GMHGOCAD_01747,CDS,312,yjcH,,COG3162,Inner membrane protein YjcH
GMHGOCAD_01748,CDS,1659,actP,,COG4147,Cation/acetate symporter ActP
GMHGOCAD_01749,CDS,1290,gltA,2.3.3.16,COG0372,Citrate synthase
GMHGOCAD_01750,CDS,387,sdhC,,COG2009,Succinate dehydrogenase cytochrome b556 subunit
GMHGOCAD_01751,CDS,369,sdhD,,COG2142,Succinate dehydrogenase hydrophobic membrane anchor subunit
GMHGOCAD_01752,CDS,1773,sdhA,1.3.5.1,COG1053,Succinate dehydrogenase flavoprotein subunit
GMHGOCAD_01753,CDS,705,sdhB,1.3.5.1,COG0479,Succinate dehydrogenase iron-sulfur subunit
GMHGOCAD_01754,CDS,2832,sucA,1.2.4.2,COG0567,2-oxoglutarate dehydrogenase E1 component
GMHGOCAD_01755,CDS,1218,sucB,2.3.1.61,COG0508,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
GMHGOCAD_01756,CDS,1437,lpdG_2,1.8.1.4,COG1249,Dihydrolipoyl dehydrogenase
GMHGOCAD_01759,CDS,1314,brnQ,,COG1114,Branched-chain amino acid transport system 2 carrier protein
GMHGOCAD_01765,CDS,1905,htpG,,COG0326,Chaperone protein HtpG
GMHGOCAD_01773,CDS,1221,fabB,2.3.1.41,,3-oxoacyl-[acyl-carrier-protein] synthase 1
GMHGOCAD_01774,CDS,516,fabA,4.2.1.59,COG0764,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
GMHGOCAD_01775,CDS,1902,rcsC_4,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_01777,CDS,2127,btuB_3,,,Vitamin B12 transporter BtuB
GMHGOCAD_01780,CDS,450,sixA,3.1.3.-,COG2062,Phosphohistidine phosphatase SixA
GMHGOCAD_01784,CDS,855,menH_2,4.2.99.20,,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
GMHGOCAD_01785,CDS,660,yfcG_2,1.8.4.-,COG0625,Disulfide-bond oxidoreductase YfcG
GMHGOCAD_01787,CDS,1053,ydiK,,COG0628,Putative transport protein YdiK
GMHGOCAD_01789,CDS,765,ompR_2,,,Transcriptional regulatory protein OmpR
GMHGOCAD_01790,CDS,702,pyrF,4.1.1.23,COG0284,Orotidine 5'-phosphate decarboxylase
GMHGOCAD_01791,CDS,1005,yfmJ,1.-.-.-,COG2130,Putative NADP-dependent oxidoreductase YfmJ
GMHGOCAD_01792,CDS,762,linC,1.1.1.-,COG1028,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase"
GMHGOCAD_01802,CDS,1758,nfdA_1,3.5.1.91,,N-substituted formamide deformylase
GMHGOCAD_01803,CDS,942,yciC_1,,COG0523,Putative metal chaperone YciC
GMHGOCAD_01804,CDS,633,rhtC_1,,COG1280,Threonine efflux protein
GMHGOCAD_01806,CDS,945,dmlR_8,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_01808,CDS,2448,fadE_1,1.3.8.7,COG1960,Acyl-coenzyme A dehydrogenase
GMHGOCAD_01810,CDS,624,gstB_1,2.5.1.18,COG0625,Glutathione S-transferase GstB
GMHGOCAD_01811,CDS,933,yadG,,COG1131,putative ABC transporter ATP-binding protein YadG
GMHGOCAD_01812,CDS,780,yadH,,COG0842,Inner membrane transport permease YadH
GMHGOCAD_01814,CDS,2232,comEC,,COG0658,ComE operon protein 3
GMHGOCAD_01815,CDS,636,tolQ_3,,COG0811,Tol-Pal system protein TolQ
GMHGOCAD_01816,CDS,429,tolR,,,Tol-Pal system protein TolR
GMHGOCAD_01817,CDS,1011,lpxK,2.7.1.130,COG1663,Tetraacyldisaccharide 4'-kinase
GMHGOCAD_01819,CDS,765,kdsB,2.7.7.38,COG1212,3-deoxy-manno-octulosonate cytidylyltransferase
GMHGOCAD_01821,CDS,1020,murB,1.3.1.98,COG0812,UDP-N-acetylenolpyruvoylglucosamine reductase
GMHGOCAD_01822,CDS,471,iorA,1.3.99.16,,Isoquinoline 1-oxidoreductase subunit alpha
GMHGOCAD_01823,CDS,2316,iorB,1.3.99.16,,Isoquinoline 1-oxidoreductase subunit beta
GMHGOCAD_01824,CDS,996,pucA,1.17.1.4,COG1975,putative xanthine dehydrogenase subunit A
GMHGOCAD_01825,CDS,597,glmU_1,2.7.7.23,,Bifunctional protein GlmU
GMHGOCAD_01827,CDS,921,rluC,5.4.99.24,COG0564,Ribosomal large subunit pseudouridine synthase C
GMHGOCAD_01830,CDS,579,yceF,3.6.1.-,COG0424,7-methyl-GTP pyrophosphatase
GMHGOCAD_01831,CDS,453,yceD,,COG1399,Large ribosomal RNA subunit accumulation protein YceD
GMHGOCAD_01832,CDS,183,rpmF,,COG0333,50S ribosomal protein L32
GMHGOCAD_01833,CDS,801,plsX,2.3.1.274,COG0416,Phosphate acyltransferase
GMHGOCAD_01834,CDS,939,fabD_1,2.3.1.39,COG0331,Malonyl CoA-acyl carrier protein transacylase
GMHGOCAD_01836,CDS,237,acpP_3,,COG0236,Acyl carrier protein
GMHGOCAD_01837,CDS,1245,fabF_3,2.3.1.179,COG0304,3-oxoacyl-[acyl-carrier-protein] synthase 2
GMHGOCAD_01838,CDS,816,pabC,4.1.3.38,COG0115,Aminodeoxychorismate lyase
GMHGOCAD_01840,CDS,633,tmk,2.7.4.9,COG0125,Thymidylate kinase
GMHGOCAD_01842,CDS,792,ycfH,3.1.-.-,COG0084,putative metal-dependent hydrolase YcfH
GMHGOCAD_01844,CDS,969,moaA_1,4.1.99.22,COG2896,"GTP 3',8-cyclase"
GMHGOCAD_01848,CDS,999,draG,3.2.2.24,COG1397,ADP-ribosyl-[dinitrogen reductase] glycohydrolase
GMHGOCAD_01850,CDS,921,rbsK_1,2.7.1.15,COG0524,Ribokinase
GMHGOCAD_01854,CDS,642,yedJ,,COG1418,putative protein YedJ
GMHGOCAD_01856,CDS,1053,adhA,1.1.1.-,COG1064,putative formaldehyde dehydrogenase AdhA
GMHGOCAD_01857,CDS,906,rhaS_5,,,HTH-type transcriptional activator RhaS
GMHGOCAD_01863,CDS,813,pal_3,,,Peptidoglycan-associated lipoprotein
GMHGOCAD_01864,CDS,1440,norG_1,,COG1167,HTH-type transcriptional regulator NorG
GMHGOCAD_01874,CDS,2145,fadJ,,COG1024,Fatty acid oxidation complex subunit alpha
GMHGOCAD_01876,CDS,972,corA,,COG0598,Cobalt/magnesium transport protein CorA
GMHGOCAD_01878,CDS,690,fadB_3,5.3.3.8,,Fatty acid oxidation complex subunit alpha
GMHGOCAD_01891,CDS,747,bdcA,,COG1028,Cyclic-di-GMP-binding biofilm dispersal mediator protein
GMHGOCAD_01892,CDS,924,pgrR_1,,,HTH-type transcriptional regulator PgrR
GMHGOCAD_01893,CDS,729,hyuA,5.1.99.5,,Hydantoin racemase
GMHGOCAD_01894,CDS,1548,pucI_1,,COG1953,putative allantoin permease
GMHGOCAD_01897,CDS,1362,pabB,2.6.1.85,COG0147,Aminodeoxychorismate synthase component 1
GMHGOCAD_01901,CDS,723,gntR_1,,,putative D-xylose utilization operon transcriptional repressor
GMHGOCAD_01903,CDS,1158,prpC_1,2.3.3.5,COG0372,2-methylcitrate synthase
GMHGOCAD_01904,CDS,2613,acnM,4.2.1.3,COG1048,Aconitate hydratase A
GMHGOCAD_01905,CDS,1191,prpF,5.3.3.-,COG2828,2-methyl-aconitate isomerase
GMHGOCAD_01906,CDS,1485,mmgE,4.2.1.-,COG2079,Citrate/2-methylcitrate dehydratase
GMHGOCAD_01907,CDS,819,ppsR,2.7.11.33,COG1806,Phosphoenolpyruvate synthase regulatory protein
GMHGOCAD_01908,CDS,2376,ppsA,2.7.9.2,,Phosphoenolpyruvate synthase
GMHGOCAD_01911,CDS,996,zntB_1,,COG0598,Zinc transport protein ZntB
GMHGOCAD_01915,CDS,978,oprF,,,Outer membrane porin F
GMHGOCAD_01919,CDS,2259,rlmL_1,,COG0116,Ribosomal RNA large subunit methyltransferase K/L
GMHGOCAD_01923,CDS,1191,ydcO_2,,COG3135,Inner membrane protein YdcO
GMHGOCAD_01924,CDS,765,nanR_2,,,HTH-type transcriptional repressor NanR
GMHGOCAD_01928,CDS,1305,guaD_2,3.5.4.3,COG0402,Guanine deaminase
GMHGOCAD_01930,CDS,2400,pucD,1.17.1.4,COG1529,putative xanthine dehydrogenase subunit D
GMHGOCAD_01932,CDS,660,rspR_1,,COG1802,HTH-type transcriptional repressor RspR
GMHGOCAD_01933,CDS,3489,smc_1,,COG1196,Chromosome partition protein Smc
GMHGOCAD_01934,CDS,855,zipA,,,Cell division protein ZipA
GMHGOCAD_01937,CDS,867,gltR_3,,COG0583,HTH-type transcriptional regulator GltR
GMHGOCAD_01942,CDS,1566,aer_1,,COG0840,Aerotaxis receptor
GMHGOCAD_01945,CDS,2085,ruvB_1,3.6.4.12,,Holliday junction ATP-dependent DNA helicase RuvB
GMHGOCAD_01946,CDS,339,ybaB,,COG0718,Nucleoid-associated protein YbaB
GMHGOCAD_01947,CDS,1044,curA,1.3.1.-,COG2130,NADPH-dependent curcumin reductase
GMHGOCAD_01948,CDS,603,recR,,COG0353,Recombination protein RecR
GMHGOCAD_01949,CDS,1149,mmgC_2,1.3.99.-,COG1960,Acyl-CoA dehydrogenase
GMHGOCAD_01951,CDS,735,anr,,,Transcriptional activator protein Anr
GMHGOCAD_01953,CDS,1383,hemN_1,1.3.98.3,COG0635,Oxygen-independent coproporphyrinogen III oxidase
GMHGOCAD_01959,CDS,978,ccoP2,,COG2010,Cbb3-type cytochrome c oxidase subunit CcoP2
GMHGOCAD_01962,CDS,1443,ccoN1_1,1.9.3.1,COG3278,Cbb3-type cytochrome c oxidase subunit CcoN1
GMHGOCAD_01963,CDS,948,ccoP1,,,Cbb3-type cytochrome c oxidase subunit CcoP1
GMHGOCAD_01966,CDS,1425,ccoN1_2,1.9.3.1,COG3278,Cbb3-type cytochrome c oxidase subunit CcoN1
GMHGOCAD_01968,CDS,1566,aer_2,,COG0840,Aerotaxis receptor
GMHGOCAD_01972,CDS,1074,rlmM,2.1.1.186,COG2933,Ribosomal RNA large subunit methyltransferase M
GMHGOCAD_01973,CDS,252,tusA_2,,COG0425,Sulfur carrier protein TusA
GMHGOCAD_01974,CDS,1410,norM_2,,COG0534,Multidrug resistance protein NorM
GMHGOCAD_01975,CDS,1143,pdxB,1.1.1.290,COG0111,Erythronate-4-phosphate dehydrogenase
GMHGOCAD_01978,CDS,1929,slt,4.2.2.-,COG0741,Soluble lytic murein transglycosylase
GMHGOCAD_01979,CDS,1923,uup,,COG0488,ABC transporter ATP-binding protein uup
GMHGOCAD_01980,CDS,438,uspA2,,COG0589,Universal stress protein A 
GMHGOCAD_01983,CDS,2148,fadB_4,,,Fatty acid oxidation complex subunit alpha
GMHGOCAD_01984,CDS,1176,fadA_2,2.3.1.16,,3-ketoacyl-CoA thiolase
GMHGOCAD_01986,CDS,2610,topA_1,5.6.2.1,COG0550,DNA topoisomerase 1
GMHGOCAD_01992,CDS,474,sulA,,COG5404,Cell division inhibitor SulA
GMHGOCAD_01993,CDS,606,lexA_1,3.4.21.88,COG1974,LexA repressor
GMHGOCAD_01995,CDS,1011,nagZ,3.2.1.52,COG1472,Beta-hexosaminidase
GMHGOCAD_01998,CDS,3450,mfd,3.6.4.-,COG1197,Transcription-repair-coupling factor
GMHGOCAD_02000,CDS,1302,proP_3,,,Proline/betaine transporter
GMHGOCAD_02001,CDS,1020,apbE,2.7.1.180,COG1477,FAD:protein FMN transferase
GMHGOCAD_02003,CDS,723,ugpQ,3.1.4.46,COG0584,"Glycerophosphodiester phosphodiesterase, cytoplasmic"
GMHGOCAD_02005,CDS,1251,lolE_1,,COG4591,Lipoprotein-releasing system transmembrane protein LolE
GMHGOCAD_02006,CDS,699,lolD_1,3.6.3.-,COG1136,Lipoprotein-releasing system ATP-binding protein LolD
GMHGOCAD_02007,CDS,1245,lolE_2,,COG4591,Lipoprotein-releasing system transmembrane protein LolE
GMHGOCAD_02008,CDS,1362,cusS,2.7.13.3,COG0642,Sensor histidine kinase CusS
GMHGOCAD_02010,CDS,567,petE,,,Plastocyanin
GMHGOCAD_02011,CDS,831,queF,1.7.1.13,COG0780,NADPH-dependent 7-cyano-7-deazaguanine reductase
GMHGOCAD_02013,CDS,621,phnX_1,3.11.1.1,,Phosphonoacetaldehyde hydrolase
GMHGOCAD_02014,CDS,687,mlaA,,COG2853,Intermembrane phospholipid transport system lipoprotein MlaA
GMHGOCAD_02016,CDS,1242,rssB_3,,,Regulator of RpoS
GMHGOCAD_02019,CDS,939,dusA,1.3.1.-,COG0042,tRNA-dihydrouridine(20/20a) synthase
GMHGOCAD_02031,CDS,522,paiA_1,2.3.1.57,COG0454,Spermidine/spermine N(1)-acetyltransferase
GMHGOCAD_02033,CDS,828,nhoA,2.3.1.118,COG2162,Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase
GMHGOCAD_02034,CDS,1536,uacT_1,,COG2233,Uric acid transporter UacT
GMHGOCAD_02036,CDS,1155,ycaD_1,,,putative MFS-type transporter YcaD
GMHGOCAD_02037,CDS,663,fabG_4,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG
GMHGOCAD_02039,CDS,930,aptB,2.2.1.-,COG3958,Apulose-4-phosphate transketolase subunit B
GMHGOCAD_02040,CDS,783,aptA,2.2.1.-,COG3959,Apulose-4-phosphate transketolase subunit A
GMHGOCAD_02045,CDS,729,fabG_6,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG
GMHGOCAD_02048,CDS,1197,tyrB,2.6.1.57,COG1448,Aromatic-amino-acid aminotransferase
GMHGOCAD_02050,CDS,1551,emrB_2,,,Colistin resistance protein EmrB
